"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Class C CCC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CCC","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period?","Reevaluation Categorization Decision for Class C","Decision Logic Case #"
"KINGMAN LAKE","FLUORENE","PAH1",NA,"4a","D","25","1","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KLINGLE VALLEY","FLUORENE","PAH1",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"LUZON BRANCH","FLUORENE","PAH1",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"MELVIN HAZEN VALLEY BRANCH","FLUORENE","PAH1",NA,"3","D","25","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"NASH RUN","FLUORENE","PAH1",NA,"4a","D","7","0","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"NORMANSTONE CREEK","FLUORENE","PAH1",NA,"Not Listed","none","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"OXON RUN","FLUORENE","PAH1",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEHURST BRANCH","FLUORENE","PAH1",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEY BRANCH","FLUORENE","PAH1",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POPE BRANCH","FLUORENE","PAH1",NA,"4a","D","7","0","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","4","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"PORTAL BRANCH","FLUORENE","PAH1",NA,"3","D","2","0","N/A - no Class C WQ criteria","2","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POTOMAC LOWER","FLUORENE","PAH1",NA,"Not Listed","none","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC MIDDLE","FLUORENE","PAH1",NA,"Not Listed","none","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC UPPER","FLUORENE","PAH1",NA,"Not Listed","none","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK LOWER","FLUORENE","PAH1",NA,"Not Listed","none","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK UPPER","FLUORENE","PAH1",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"SOAPSTONE CREEK","FLUORENE","PAH1",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"TEXAS AVENUE TRIBUTARY","FLUORENE","PAH1",NA,"4a","D","6","0","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"TIDAL BASIN","FLUORENE","PAH1",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WASHINGTON SHIP CHANNEL","FLUORENE","PAH1",NA,"3","D","19","0","N/A - no Class C WQ criteria","19","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH LOWER","FLUORENE","PAH1",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH UPPER","FLUORENE","PAH1",NA,"3","D","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"BATTERY KEMBLE CREEK","FLUORENE","PAH1",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"C&O CANAL","FLUORENE","PAH1",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT CHAPLIN TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT DAVIS TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FOUNDRY BRANCH","FLUORENE","PAH1",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ANACOSTIA LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","63","1","0","63","0","27","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"ANACOSTIA UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","105","23","1","105","1","68","23","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","Yes","Keep in Category 4a","5"
"BROAD BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","25","14","6","25","6","24","3","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","Yes","Keep in Category 4a","1"
"DALECARLIA TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"DUMBARTON OAKS","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","26","17","10","26","10","24","3","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","Yes","Keep in Category 4a","1"
"FENWICK BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"FORT DUPONT TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","24","1","0","24","0","24","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","29","0","0","29","0","25","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"HICKEY RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","6","0","0","6","0","3","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Keep in Category 3","9"
"KINGMAN LAKE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","25","1","0","25","0","3","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Keep in Category 3","9"
"KLINGLE VALLEY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"LUZON BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"MELVIN HAZEN VALLEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","25","7","0","25","0","24","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Keep in Category 3","9"
"NASH RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","7","2","0","7","0","3","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"NORMANSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"OXON RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","1","0","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"PINEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"POPE BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","7","3","0","7","0","4","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"PORTAL BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","2","2","0","2","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"POTOMAC LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","24","1","0","24","0","24","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","24","1","0","24","0","24","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","24","10","0","24","0","24","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"ROCK CREEK UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","0","0","0","0","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"SOAPSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"TEXAS AVENUE TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","D","6","3","0","6","0","3","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"TIDAL BASIN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","3","0","0","3","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","19","0","0","19","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Remove from Category 3","8"
"WATTS BRANCH LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","7","0","0","7","0","4","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Keep in Category 3","9"
"WATTS BRANCH UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","D","24","1","0","24","0","24","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"C&O CANAL","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","63","2","N/A - no Class C WQ criteria","63","N/A - no Class C WQ criteria","27","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"ANACOSTIA UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","56","2","N/A - no Class C WQ criteria","56","N/A - no Class C WQ criteria","19","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"BROAD BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","25","1","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"DUMBARTON OAKS","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","26","0","N/A - no Class C WQ criteria","26","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FENWICK BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FORT DUPONT TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT STANTON TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","32","0","N/A - no Class C WQ criteria","32","N/A - no Class C WQ criteria","28","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"HICKEY RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","6","0","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KINGMAN LAKE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","25","1","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KLINGLE VALLEY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"LUZON BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"MELVIN HAZEN VALLEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","25","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"NASH RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","7","1","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"NORMANSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"OXON RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEHURST BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POPE BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","7","1","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","4","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"PORTAL BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","2","0","N/A - no Class C WQ criteria","2","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POTOMAC LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC MIDDLE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","24","2","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"SOAPSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"TEXAS AVENUE TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","D","6","0","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"TIDAL BASIN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WASHINGTON SHIP CHANNEL","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","19","2","N/A - no Class C WQ criteria","19","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","D","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"BATTERY KEMBLE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"C&O CANAL","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT CHAPLIN TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT DAVIS TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FOUNDRY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ANACOSTIA LOWER","NAPHTHALENE","PAH1",NA,"4a","D","63","1","0","63","0","27","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"ANACOSTIA UPPER","NAPHTHALENE","PAH1",NA,"4a","D","56","3","0","56","0","19","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"BROAD BRANCH","NAPHTHALENE","PAH1",NA,"Not Listed","none","26","0","0","25","0","24","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","NAPHTHALENE","PAH1",NA,"3","D","1","1","0","1","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","NAPHTHALENE","PAH1",NA,"3","D","27","0","0","26","0","24","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","10"
"FENWICK BRANCH","NAPHTHALENE","PAH1",NA,"3","D","2","0","0","1","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","NAPHTHALENE","PAH1",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","NAPHTHALENE","PAH1",NA,"4a","D","32","1","0","32","0","28","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"HICKEY RUN","NAPHTHALENE","PAH1",NA,"4a","D","6","2","0","6","0","3","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"KINGMAN LAKE","NAPHTHALENE","PAH1",NA,"4a","D","25","2","0","25","0","3","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 4a","3"
