"waterbody_segment","pollutant_name","pollutant_group","test_fraction","current_category","number_of_unique_days_sampled","number_of_samples_1990_to_2021","number_of_detects_1990_to_2021","n_d_exceedance_1990_to_2021","number_of_samples_2011_to_2021","n_d_exceedance_2011_to_2021","number_of_samples_2016_to_2021","n_d_exceedance_2016_to_2021","number_of_samples_since_last_class_d_exceedance","d_criterion","d_dl_ratio_range","was_last_d_exceedance_within_5_year_period","tidal_type","decision_description","decision_case_number"
"KLINGLE VALLEY","CHRYSENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","CHRYSENE","PAH2",NA,"3","14","14","0","0 (D)","14","0","13","0","0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 3","10"
"NASH RUN","CHRYSENE","PAH2",NA,"4a","6","7","3","1 (D)","7","1","3","1","1 (D)","0.13","0.1 - .677","Yes","Non-tidal","Keep in in Category 4a","1"
"NORMANSTONE CREEK","CHRYSENE","PAH2",NA,"Not Listed","1","1","0","0 (D)","1","0","0",NA,"0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Take no action","15"
"OXON RUN","CHRYSENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","CHRYSENE","PAH2",NA,"4a","6","7","1","0 (D)","7","0","4","0","0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 4a","3"
"PORTAL BRANCH","CHRYSENE","PAH2",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","CHRYSENE","PAH2",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","0.13","0.1 - .677",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","CHRYSENE","PAH2",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","10 (D)","0.13","0.1 - .677","Yes","Tidal","Move to Category 5","14"
"POTOMAC UPPER","CHRYSENE","PAH2",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","9 (D)","0.13","0.1 - .677","Yes","Tidal","Move to Category 5","14"
"ROCK CREEK LOWER","CHRYSENE","PAH2",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","11 (D)","0.13","0.1 - .677","Yes","Non-tidal","Move to Category 5","14"
"SOAPSTONE CREEK","CHRYSENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","CHRYSENE","PAH2",NA,"4a","6","6","1","1 (D)","6","1","3","0","3 (D)","0.13","0.1 - .677","No","Non-tidal","Keep in in Category 4a","1"
"TIDAL BASIN","CHRYSENE","PAH2",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","0.13","0.1 - .677",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","CHRYSENE","PAH2",NA,"3","7","19","2","1 (D)","19","1","12","1","4 (D)","0.13","0.1 - .677","Yes","Tidal","Move to Category 5","7"
"WATTS BRANCH LOWER","CHRYSENE","PAH2",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 3","8"
"WATTS BRANCH UPPER","CHRYSENE","PAH2",NA,"3","13","13","0","0 (D)","13","0","13","0","0 (D)","0.13","0.1 - .677",NA,"Non-tidal","Remove from Category 3","10"
"ANACOSTIA LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","24","52","1","1 (D)","52","1","40","1","28 (D)","1.2999999999999999E-4","115 - 600","Yes","Tidal","Keep in in Category 4a","1"
"ANACOSTIA UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","14","56","1","1 (D)","56","1","37","1","28 (D)","1.2999999999999999E-4","115 - 600","Yes","Tidal","Keep in in Category 4a","1"
"BROAD BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","14","14","0","0 (D)","14","0","13","0","0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Take no action","15"
"DALECARLIA TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","14","15","0","0 (D)","15","0","13","0","0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Keep in in Category 3","9"
"FENWICK BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","19","20","0","0 (D)","20","0","16","0","0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Move to Category 3","2"
"HICKEY RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","5","6","0","0 (D)","6","0","3","0","0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Move to Category 3","2"
"KINGMAN LAKE","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","13","25","1","1 (D)","25","1","15","0","15 (D)","1.2999999999999999E-4","115 - 600","No","Tidal","Keep in in Category 4a","1"
"KLINGLE VALLEY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","14","14","0","0 (D)","14","0","13","0","0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Keep in in Category 3","9"
"NASH RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","6","7","1","1 (D)","7","1","3","1","1 (D)","1.2999999999999999E-4","115 - 600","Yes","Non-tidal","Keep in in Category 4a","1"
"NORMANSTONE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Take no action","15"
"OXON RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","6","7","1","1 (D)","7","1","4","0","4 (D)","1.2999999999999999E-4","115 - 600","No","Non-tidal","Keep in in Category 4a","1"
"PORTAL BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-4","115 - 600",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","10 (D)","1.2999999999999999E-4","115 - 600","Yes","Tidal","Move to Category 5","14"
"POTOMAC UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","9 (D)","1.2999999999999999E-4","115 - 600","Yes","Tidal","Move to Category 5","14"
"ROCK CREEK LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","11 (D)","1.2999999999999999E-4","115 - 600","Yes","Non-tidal","Move to Category 5","14"
"SOAPSTONE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","6","6","0","0 (D)","6","0","3","0","0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Move to Category 3","2"
"TIDAL BASIN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","1.2999999999999999E-4","115 - 600",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","7","19","2","2 (D)","19","2","12","2","4 (D)","1.2999999999999999E-4","115 - 600","Yes","Tidal","Move to Category 5","7"
"WATTS BRANCH LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Remove from Category 3","8"
"WATTS BRANCH UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","13","13","0","0 (D)","13","0","13","0","0 (D)","1.2999999999999999E-4","115 - 600",NA,"Non-tidal","Keep in in Category 3","9"
"ANACOSTIA LOWER","DIELDRIN","DIELDRIN",NA,"4a","24","52","2","2 (D)","52","2","40","2","0 (D)","1.1999999999999999E-6","100 - 3420","Yes","Tidal","Keep in in Category 4a","1"
"ANACOSTIA UPPER","DIELDRIN","DIELDRIN",NA,"4a","17","105","38","38 (D)","105","38","86","38","0 (D)","1.1999999999999999E-6","100 - 3420","Yes","Tidal","Keep in in Category 4a","1"
"BROAD BRANCH","DIELDRIN","DIELDRIN",NA,"4a","14","14","9","9 (D)","14","9","13","8","0 (D)","1.1999999999999999E-6","100 - 3420","Yes","Non-tidal","Keep in in Category 4a","1"
"DALECARLIA TRIBUTARY","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","1.1999999999999999E-6","100 - 3420","No","Non-tidal","Keep in in Category 4a","1"
"DUMBARTON OAKS","DIELDRIN","DIELDRIN",NA,"4a","14","15","14","14 (D)","15","14","13","12","0 (D)","1.1999999999999999E-6","100 - 3420","Yes","Non-tidal","Keep in in Category 4a","1"
"FENWICK BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","1.1999999999999999E-6","100 - 3420","No","Non-tidal","Keep in in Category 4a","1"
"FORT DUPONT TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","1.1999999999999999E-6","100 - 3420",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","16","17","0","0 (D)","17","0","13","0","0 (D)","1.1999999999999999E-6","100 - 3420",NA,"Non-tidal","Take no action","15"
"HICKEY RUN","DIELDRIN","DIELDRIN",NA,"3","5","6","0","0 (D)","6","0","3","0","0 (D)","1.1999999999999999E-6","100 - 3420",NA,"Non-tidal","Keep in in Category 3","9"
"KINGMAN LAKE","DIELDRIN","DIELDRIN",NA,"3","13","25","2","2 (D)","25","2","15","2","2 (D)","1.1999999999999999E-6","100 - 3420","Yes","Tidal","Move to Category 5","7"
"KLINGLE VALLEY","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","1.1999999999999999E-6","100 - 3420","No","Non-tidal","Keep in in Category 4a","1"
"LUZON BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","1.1999999999999999E-6","100 - 3420","No","Non-tidal","Keep in in Category 4a","1"
"MELVIN HAZEN VALLEY BRANCH","DIELDRIN","DIELDRIN",NA,"4a","14","14","9","9 (D)","14","9","13","8","0 (D)","1.1999999999999999E-6","100 - 3420","Yes","Non-tidal","Keep in in Category 4a","1"
"NASH RUN","DIELDRIN","DIELDRIN",NA,"4a","6","7","1","1 (D)","7","1","3","0","3 (D)","1.1999999999999999E-6","100 - 3420","No","Non-tidal","Keep in in Category 4a","1"
"NORMANSTONE CREEK","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","1.1999999999999999E-6","100 - 3420","No","Non-tidal","Keep in in Category 4a","1"
"OXON RUN","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","1.1999999999999999E-6","100 - 3420","No","Non-tidal","Keep in in Category 4a","1"
"PINEHURST BRANCH","DIELDRIN","DIELDRIN",NA,"4a","2","2","2","2 (D)","1","1","0",NA,"0 (D)","1.1999999999999999E-6","100 - 3420","No","Non-tidal","Keep in in Category 4a","1"
"PINEY BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","1.1999999999999999E-6","100 - 3420","No","Non-tidal","Keep in in Category 4a","1"
"POPE BRANCH","DIELDRIN","DIELDRIN",NA,"3","6","7","2","2 (D)","7","2","4","2","1 (D)","1.1999999999999999E-6","100 - 3420","Yes","Non-tidal","Move to Category 5","7"
"PORTAL BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","2","2","2 (D)","2","2","0",NA,"0 (D)","1.1999999999999999E-6","100 - 3420","No","Non-tidal","Keep in in Category 4a","1"
"POTOMAC LOWER","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","9 (D)","1.1999999999999999E-6","100 - 3420","Yes","Tidal","Move to Category 5","14"
"POTOMAC MIDDLE","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","2","2 (D)","13","2","13","2","9 (D)","1.1999999999999999E-6","100 - 3420","Yes","Tidal","Move to Category 5","14"
"POTOMAC UPPER","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","1","1 (D)","13","1","13","1","0 (D)","1.1999999999999999E-6","100 - 3420","Yes","Tidal","Move to Category 5","14"
"ROCK CREEK LOWER","DIELDRIN","DIELDRIN",NA,"Not Listed","14","14","5","5 (D)","13","5","13","5","3 (D)","1.1999999999999999E-6","100 - 3420","Yes","Non-tidal","Move to Category 5","14"
"ROCK CREEK UPPER","DIELDRIN","DIELDRIN",NA,"4a","18","19","0","0 (D)","0","0","0",NA,"0 (D)","1.1999999999999999E-6","100 - 3420",NA,"Non-tidal","Move to Category 3","2"
"SOAPSTONE CREEK","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1 (D)","1","1","0",NA,"0 (D)","1.1999999999999999E-6","100 - 3420","No","Non-tidal","Keep in in Category 4a","1"
"TEXAS AVENUE TRIBUTARY","DIELDRIN","DIELDRIN",NA,"4a","6","6","5","5 (D)","6","5","3","2","1 (D)","1.1999999999999999E-6","100 - 3420","Yes","Non-tidal","Keep in in Category 4a","1"
"TIDAL BASIN","DIELDRIN","DIELDRIN",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","1.1999999999999999E-6","100 - 3420",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","DIELDRIN","DIELDRIN",NA,"3","7","19","0","0 (D)","19","0","12","0","0 (D)","1.1999999999999999E-6","100 - 3420",NA,"Tidal","Keep in in Category 3","9"
"WATTS BRANCH LOWER","DIELDRIN","DIELDRIN",NA,"4a","6","7","4","4 (D)","7","4","4","2","0 (D)","1.1999999999999999E-6","100 - 3420","Yes","Non-tidal","Keep in in Category 4a","1"
"WATTS BRANCH UPPER","DIELDRIN","DIELDRIN",NA,"4a","13","13","4","4 (D)","13","4","13","4","0 (D)","1.1999999999999999E-6","100 - 3420","Yes","Non-tidal","Keep in in Category 4a","1"
"ANACOSTIA LOWER","FLUORANTHENE","PAH2",NA,"4a","24","52","16","0 (D)","52","0","40","0","0 (D)","20","0.00075 - 0.01",NA,"Tidal","Remove from Category 4a","3"
"ANACOSTIA UPPER","FLUORANTHENE","PAH2",NA,"4a","14","56","31","0 (D)","56","0","37","0","0 (D)","20","0.00075 - 0.01",NA,"Tidal","Remove from Category 4a","3"
"BROAD BRANCH","FLUORANTHENE","PAH2",NA,"Not Listed","15","15","0","0 (D)","14","0","13","0","0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Take no action","15"
"DALECARLIA TRIBUTARY","FLUORANTHENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","FLUORANTHENE","PAH2",NA,"3","15","16","1","0 (D)","15","0","13","0","0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 3","10"
"FENWICK BRANCH","FLUORANTHENE","PAH2",NA,"3","2","2","1","0 (D)","1","0","0",NA,"0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","FLUORANTHENE","PAH2",NA,"4a","19","20","2","0 (D)","20","0","16","0","0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 4a","3"
"HICKEY RUN","FLUORANTHENE","PAH2",NA,"4a","5","6","2","0 (D)","6","0","3","0","0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 4a","3"
"KINGMAN LAKE","FLUORANTHENE","PAH2",NA,"4a","13","25","14","0 (D)","25","0","15","0","0 (D)","20","0.00075 - 0.01",NA,"Tidal","Remove from Category 4a","3"
"KLINGLE VALLEY","FLUORANTHENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","FLUORANTHENE","PAH2",NA,"3","2","3","0","0 (D)","1","0","0",NA,"0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","FLUORANTHENE","PAH2",NA,"3","14","14","0","0 (D)","14","0","13","0","0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 3","10"
"NASH RUN","FLUORANTHENE","PAH2",NA,"4a","6","7","4","0 (D)","7","0","3","0","0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 4a","3"
"NORMANSTONE CREEK","FLUORANTHENE","PAH2",NA,"Not Listed","2","2","0","0 (D)","1","0","0",NA,"0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Take no action","15"
"OXON RUN","FLUORANTHENE","PAH2",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","FLUORANTHENE","PAH2",NA,"3","2","4","0","0 (D)","1","0","0",NA,"0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","FLUORANTHENE","PAH2",NA,"3","2","3","0","0 (D)","1","0","0",NA,"0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","FLUORANTHENE","PAH2",NA,"4a","6","7","1","0 (D)","7","0","4","0","0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 4a","3"
"PORTAL BRANCH","FLUORANTHENE","PAH2",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","20","0.00075 - 0.01",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","1","0 (D)","13","0","13","0","0 (D)","20","0.00075 - 0.01",NA,"Tidal","Take no action","15"
"POTOMAC UPPER","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","20","0.00075 - 0.01",NA,"Tidal","Take no action","15"
"ROCK CREEK LOWER","FLUORANTHENE","PAH2",NA,"Not Listed","14","21","6","0 (D)","13","0","13","0","0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Take no action","15"
"ROCK CREEK UPPER","FLUORANTHENE","PAH2",NA,"Not Listed","6","23","18","0 (D)","0","0","0",NA,"0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Take no action","15"
"SOAPSTONE CREEK","FLUORANTHENE","PAH2",NA,"3","2","2","0","0 (D)","1","0","0",NA,"0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","FLUORANTHENE","PAH2",NA,"4a","6","6","1","0 (D)","6","0","3","0","0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 4a","3"
"TIDAL BASIN","FLUORANTHENE","PAH2",NA,"3","3","3","0","0 (D)","3","0","0",NA,"0 (D)","20","0.00075 - 0.01",NA,"Tidal","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","FLUORANTHENE","PAH2",NA,"3","7","19","4","0 (D)","19","0","12","0","0 (D)","20","0.00075 - 0.01",NA,"Tidal","Remove from Category 3","10"
"WATTS BRANCH LOWER","FLUORANTHENE","PAH2",NA,"3","3","3","1","0 (D)","3","0","0",NA,"0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 3","8"
"WATTS BRANCH UPPER","FLUORANTHENE","PAH2",NA,"3","13","13","0","0 (D)","13","0","13","0","0 (D)","20","0.00075 - 0.01",NA,"Non-tidal","Remove from Category 3","10"
"ANACOSTIA LOWER","FLUORENE","PAH1",NA,"4a","24","52","1","0 (D)","52","0","40","0","0 (D)","70","0.000286 - 0.00107",NA,"Tidal","Remove from Category 4a","3"
"ANACOSTIA UPPER","FLUORENE","PAH1",NA,"4a","14","56","2","0 (D)","56","0","37","0","0 (D)","70","0.000286 - 0.00107",NA,"Tidal","Remove from Category 4a","3"
"BROAD BRANCH","FLUORENE","PAH1",NA,"Not Listed","14","14","0","0 (D)","14","0","13","0","0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Take no action","15"
"DALECARLIA TRIBUTARY","FLUORENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","FLUORENE","PAH1",NA,"3","14","15","0","0 (D)","15","0","13","0","0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 3","10"
"FENWICK BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","FLUORENE","PAH1",NA,"4a","19","20","0","0 (D)","20","0","16","0","0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 4a","3"
"HICKEY RUN","FLUORENE","PAH1",NA,"4a","5","6","0","0 (D)","6","0","3","0","0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 4a","3"
"KINGMAN LAKE","FLUORENE","PAH1",NA,"4a","13","25","1","0 (D)","25","0","15","0","0 (D)","70","0.000286 - 0.00107",NA,"Tidal","Remove from Category 4a","3"
"KLINGLE VALLEY","FLUORENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","FLUORENE","PAH1",NA,"3","14","14","0","0 (D)","14","0","13","0","0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 3","10"
"NASH RUN","FLUORENE","PAH1",NA,"4a","6","7","0","0 (D)","7","0","3","0","0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 4a","3"
"NORMANSTONE CREEK","FLUORENE","PAH1",NA,"Not Listed","1","1","0","0 (D)","1","0","0",NA,"0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Take no action","15"
"OXON RUN","FLUORENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","0 (D)","1","0","0",NA,"0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","FLUORENE","PAH1",NA,"4a","6","7","0","0 (D)","7","0","4","0","0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 4a","3"
"PORTAL BRANCH","FLUORENE","PAH1",NA,"3","1","2","0","0 (D)","2","0","0",NA,"0 (D)","70","0.000286 - 0.00107",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","70","0.000286 - 0.00107",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","70","0.000286 - 0.00107",NA,"Tidal","Take no action","15"
"POTOMAC UPPER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","70","0.000286 - 0.00107",NA,"Tidal","Take no action","15"
