"waterbody_segment","pollutant_name","pollutant_group","test_fraction","current_category","number_of_unique_days_sampled","number_of_samples_1990_to_2021","number_of_detects_1990_to_2021","n_d_exceedance_1990_to_2021","number_of_samples_2011_to_2021","n_d_exceedance_2011_to_2021","number_of_samples_2016_to_2021","number_of_samples_since_last_class_d_exceedance","d_criterion","d_dl_ratio_range","was_last_d_exceedance_within_5_year_period","fish_tissue_results_class_d","decision_description","decision_case_number","updated_tmdl"
"PINEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","1","1","0","0","1","0","0","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Move to Category 3","2","No"
"POPE BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","7","1","1","7","1","4","5","0.00032","4.38 - 212.9","No","NA - not sampled","Keep in in Category 4a","5","Yes"
"PORTAL BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","2","0","0","2","0","0","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0","13","0","13","0","0.00032","4.38 - 212.9",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0","13","0","13","0","0.00032","4.38 - 212.9",NA,"No exceedances","Take no action","15","No"
"POTOMAC UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0","13","0","13","0","0.00032","4.38 - 212.9",NA,"No exceedances","Take no action","15","No"
"ROCK CREEK LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","1","1","13","1","13","6","0.00032","4.38 - 212.9","Yes","NA - not sampled","Move to Category 3","18","No"
"ROCK CREEK UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","0","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9",NA,"NA - not sampled","Move to Category 3","2","No"
"SOAPSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","1","1","0","0","1","0","0","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Move to Category 3","2","No"
"TEXAS AVENUE TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","6","1","1","6","1","3","4","0.00032","4.38 - 212.9","No","NA - not sampled","Keep in in Category 4a","5","Yes"
"TIDAL BASIN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","3","3","0","0","3","0","0","0","0.00032","4.38 - 212.9",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","7","19","0","0","19","0","12","0","0.00032","4.38 - 212.9",NA,"No exceedances","Keep in in Category 3","9","No"
"WATTS BRANCH LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","7","0","0","7","0","4","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Move to Category 3","2","Yes"
"WATTS BRANCH UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","13","13","0","0","13","0","13","0","0.00032","4.38 - 212.9",NA,"NA - not sampled","Move to Category 3","2","Yes"
"BATTERY KEMBLE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","CHRYSENE","PAH2",NA,"4a","24","52","2","2","52","2","40","18","0.13","0.1 - .677","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"ANACOSTIA UPPER","CHRYSENE","PAH2",NA,"4a","14","56","7","1","56","1","37","49","0.13","0.1 - .677","No","No exceedances","Move to Category 3","6","Yes"
"BROAD BRANCH","CHRYSENE","PAH2",NA,"Not Listed","14","14","0","0","14","0","13","0","0.13","0.1 - .677",NA,"NA - not sampled","Take no action","15","No"
"DALECARLIA TRIBUTARY","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","CHRYSENE","PAH2",NA,"3","14","15","0","0","15","0","13","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 3","10","No"
"FENWICK BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","0.13","0.1 - .677",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","CHRYSENE","PAH2",NA,"4a","19","20","1","0","20","0","16","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"HICKEY RUN","CHRYSENE","PAH2",NA,"4a","5","6","2","0","6","0","3","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"KINGMAN LAKE","CHRYSENE","PAH2",NA,"4a","13","25","3","1","25","1","15","15","0.13","0.1 - .677","No","No exceedances","Move to Category 3","6","Yes"
"KLINGLE VALLEY","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","CHRYSENE","PAH2",NA,"3","14","14","0","0","14","0","13","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 3","10","No"
"NASH RUN","CHRYSENE","PAH2",NA,"4a","6","7","3","1","7","1","3","1","0.13","0.1 - .677","Yes","NA - not sampled","Move to Category 3","6","Yes"
"NORMANSTONE CREEK","CHRYSENE","PAH2",NA,"Not Listed","1","1","0","0","1","0","0","0","0.13","0.1 - .677",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","CHRYSENE","PAH2",NA,"4a","6","7","1","0","7","0","4","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"PORTAL BRANCH","CHRYSENE","PAH2",NA,"3","1","2","0","0","2","0","0","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","CHRYSENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","0.13","0.1 - .677",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","CHRYSENE","PAH2",NA,"Not Listed","13","13","1","1","13","1","13","10","0.13","0.1 - .677","Yes","No exceedances","Take no action","16","No"
"POTOMAC UPPER","CHRYSENE","PAH2",NA,"Not Listed","13","13","1","1","13","1","13","9","0.13","0.1 - .677","Yes","No exceedances","Take no action","16","No"
"ROCK CREEK LOWER","CHRYSENE","PAH2",NA,"Not Listed","13","13","1","1","13","1","13","11","0.13","0.1 - .677","Yes","NA - not sampled","Take no action","16","No"
"ROCK CREEK UPPER","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","CHRYSENE","PAH2",NA,"4a","6","6","1","1","6","1","3","3","0.13","0.1 - .677","No","NA - not sampled","Move to Category 3","6","Yes"
"TIDAL BASIN","CHRYSENE","PAH2",NA,"3","3","3","0","0","3","0","0","0","0.13","0.1 - .677",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","CHRYSENE","PAH2",NA,"3","7","19","2","1","19","1","12","4","0.13","0.1 - .677","Yes","No exceedances","Remove from Category 3","13","No"
"WATTS BRANCH LOWER","CHRYSENE","PAH2",NA,"3","3","3","0","0","3","0","0","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 3","8","No"
"WATTS BRANCH UPPER","CHRYSENE","PAH2",NA,"3","13","13","0","0","13","0","13","0","0.13","0.1 - .677",NA,"NA - not sampled","Remove from Category 3","10","No"
"BATTERY KEMBLE CREEK","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","24","52","1","1","52","1","40","28","0.00013","115 - 600","Yes","No exceedances","Keep in in Category 4a","5","Yes"
"ANACOSTIA UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","14","56","1","1","56","1","37","28","0.00013","115 - 600","Yes","No exceedances","Keep in in Category 4a","5","Yes"
"BROAD BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","14","14","0","0","14","0","13","0","0.00013","115 - 600",NA,"NA - not sampled","Take no action","15","No"
"DALECARLIA TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.00013","115 - 600",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","14","15","0","0","15","0","13","0","0.00013","115 - 600",NA,"NA - not sampled","Keep in in Category 3","9","No"
"FENWICK BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.00013","115 - 600",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","0.00013","115 - 600",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","19","20","0","0","20","0","16","0","0.00013","115 - 600",NA,"NA - not sampled","Move to Category 3","2","Yes"
"HICKEY RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","5","6","0","0","6","0","3","0","0.00013","115 - 600",NA,"NA - not sampled","Move to Category 3","2","Yes"
"KINGMAN LAKE","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","13","25","1","1","25","1","15","15","0.00013","115 - 600","No","No exceedances","Keep in in Category 4a","5","Yes"
"KLINGLE VALLEY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.00013","115 - 600",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.00013","115 - 600",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","14","14","0","0","14","0","13","0","0.00013","115 - 600",NA,"NA - not sampled","Keep in in Category 3","9","No"
"NASH RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","6","7","1","1","7","1","3","1","0.00013","115 - 600","Yes","NA - not sampled","Keep in in Category 4a","5","Yes"
"NORMANSTONE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","1","1","0","0","1","0","0","0","0.00013","115 - 600",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.00013","115 - 600",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.00013","115 - 600",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.00013","115 - 600",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","6","7","1","1","7","1","4","4","0.00013","115 - 600","No","NA - not sampled","Keep in in Category 4a","5","Yes"
"PORTAL BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","2","0","0","2","0","0","0","0.00013","115 - 600",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","0.00013","115 - 600",NA,"No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","10","0.00013","115 - 600","Yes","No exceedances","Move to Category 3","18","No"
"POTOMAC UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","9","0.00013","115 - 600","Yes","No exceedances","Move to Category 3","18","No"
"ROCK CREEK LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","11","0.00013","115 - 600","Yes","NA - not sampled","Move to Category 3","18","No"
"ROCK CREEK UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","115 - 600",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","0.00013","115 - 600",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","6","6","0","0","6","0","3","0","0.00013","115 - 600",NA,"NA - not sampled","Move to Category 3","2","Yes"
"TIDAL BASIN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","0.00013","115 - 600",NA,"No exceedances","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","7","19","2","2","19","2","12","4","0.00013","115 - 600","Yes","No exceedances","Move to Category 5","7","No"
"WATTS BRANCH LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","0.00013","115 - 600",NA,"NA - not sampled","Remove from Category 3","8","No"
"WATTS BRANCH UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","13","13","0","0","13","0","13","0","0.00013","115 - 600",NA,"NA - not sampled","Keep in in Category 3","9","No"
"BATTERY KEMBLE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","115 - 600",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","115 - 600",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","115 - 600",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","115 - 600",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","115 - 600",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","DIELDRIN","DIELDRIN",NA,"4a","24","52","2","2","52","2","40","0","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Keep in in Category 4a","1","Yes"
"ANACOSTIA UPPER","DIELDRIN","DIELDRIN",NA,"4a","17","105","38","38","105","38","86","0","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Keep in in Category 4a","1","Yes"
"BROAD BRANCH","DIELDRIN","DIELDRIN",NA,"4a","14","14","9","9","14","9","13","0","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in in Category 4a","1","No"
"DALECARLIA TRIBUTARY","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in in Category 4a","4","No"
"DUMBARTON OAKS","DIELDRIN","DIELDRIN",NA,"4a","14","15","14","14","15","14","13","0","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in in Category 4a","1","No"
"FENWICK BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in in Category 4a","4","No"
"FORT DUPONT TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","0","0","13","0","13","0","1.2e-06","100 - 3420",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","16","17","0","0","17","0","13","0","1.2e-06","100 - 3420",NA,"NA - not sampled","Take no action","15","No"
"HICKEY RUN","DIELDRIN","DIELDRIN",NA,"3","5","6","0","0","6","0","3","0","1.2e-06","100 - 3420",NA,"NA - not sampled","Keep in in Category 3","9","No"
"KINGMAN LAKE","DIELDRIN","DIELDRIN",NA,"3","13","25","2","2","25","2","15","2","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Move to Category 5","7","No"
"KLINGLE VALLEY","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in in Category 4a","4","No"
"LUZON BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in in Category 4a","4","No"
"MELVIN HAZEN VALLEY BRANCH","DIELDRIN","DIELDRIN",NA,"4a","14","14","9","9","14","9","13","0","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in in Category 4a","1","No"
"NASH RUN","DIELDRIN","DIELDRIN",NA,"4a","6","7","1","1","7","1","3","3","1.2e-06","100 - 3420","No","NA - not sampled","Keep in in Category 4a","5","Yes"
"NORMANSTONE CREEK","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in in Category 4a","4","No"
"OXON RUN","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in in Category 4a","4","No"
"PINEHURST BRANCH","DIELDRIN","DIELDRIN",NA,"4a","2","2","2","2","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in in Category 4a","4","No"
"PINEY BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in in Category 4a","4","No"
"POPE BRANCH","DIELDRIN","DIELDRIN",NA,"3","6","7","2","2","7","2","4","1","1.2e-06","100 - 3420","Yes","NA - not sampled","Move to Category 5","7","No"
"PORTAL BRANCH","DIELDRIN","DIELDRIN",NA,"4a","1","2","2","2","2","2","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in in Category 4a","1","No"
"POTOMAC LOWER","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","1","1","13","1","13","9","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Move to Category 3","18","No"
"POTOMAC MIDDLE","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","2","2","13","2","13","9","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Move to Category 5","14","No"
"POTOMAC UPPER","DIELDRIN","DIELDRIN",NA,"Not Listed","13","13","1","1","13","1","13","0","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Move to Category 3","18","No"
"ROCK CREEK LOWER","DIELDRIN","DIELDRIN",NA,"Not Listed","14","14","5","5","13","5","13","3","1.2e-06","100 - 3420","Yes","NA - not sampled","Move to Category 5","14","No"
"ROCK CREEK UPPER","DIELDRIN","DIELDRIN",NA,"4a","18","19","0","0","0","0","0","0","1.2e-06","100 - 3420",NA,"NA - not sampled","Move to Category 3","2","No"
"SOAPSTONE CREEK","DIELDRIN","DIELDRIN",NA,"4a","1","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in in Category 4a","4","No"
"TEXAS AVENUE TRIBUTARY","DIELDRIN","DIELDRIN",NA,"4a","6","6","5","5","6","5","3","1","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"TIDAL BASIN","DIELDRIN","DIELDRIN",NA,"3","3","3","0","0","3","0","0","0","1.2e-06","100 - 3420",NA,"Exceedances in fish tissue","Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","DIELDRIN","DIELDRIN",NA,"3","7","19","0","0","19","0","12","0","1.2e-06","100 - 3420",NA,"Exceedances in fish tissue","Keep in in Category 3","9","No"
"WATTS BRANCH LOWER","DIELDRIN","DIELDRIN",NA,"4a","6","7","4","4","7","4","4","0","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"WATTS BRANCH UPPER","DIELDRIN","DIELDRIN",NA,"4a","13","13","4","4","13","4","13","0","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"BATTERY KEMBLE CREEK","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420",NA,"NA - not sampled","Take no action","15","No"
"C&O CANAL","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","DIELDRIN","DIELDRIN",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","FLUORANTHENE","PAH2",NA,"4a","24","52","16","0","52","0","40","0","20","0.00075 - 0.01",NA,"No exceedances","Remove from Category 4a","3","Yes"
"ANACOSTIA UPPER","FLUORANTHENE","PAH2",NA,"4a","14","56","31","0","56","0","37","0","20","0.00075 - 0.01",NA,"No exceedances","Remove from Category 4a","3","Yes"
"BROAD BRANCH","FLUORANTHENE","PAH2",NA,"Not Listed","15","15","0","0","14","0","13","0","20","0.00075 - 0.01",NA,"NA - not sampled","Take no action","15","No"
"DALECARLIA TRIBUTARY","FLUORANTHENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","FLUORANTHENE","PAH2",NA,"3","15","16","1","0","15","0","13","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 3","10","No"
"FENWICK BRANCH","FLUORANTHENE","PAH2",NA,"3","2","2","1","0","1","0","0","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","20","0.00075 - 0.01",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","FLUORANTHENE","PAH2",NA,"4a","19","20","2","0","20","0","16","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"HICKEY RUN","FLUORANTHENE","PAH2",NA,"4a","5","6","2","0","6","0","3","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"KINGMAN LAKE","FLUORANTHENE","PAH2",NA,"4a","13","25","14","0","25","0","15","0","20","0.00075 - 0.01",NA,"No exceedances","Remove from Category 4a","3","Yes"
"KLINGLE VALLEY","FLUORANTHENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","FLUORANTHENE","PAH2",NA,"3","2","3","0","0","1","0","0","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","FLUORANTHENE","PAH2",NA,"3","14","14","0","0","14","0","13","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 3","10","No"
"NASH RUN","FLUORANTHENE","PAH2",NA,"4a","6","7","4","0","7","0","3","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 4a","3","Yes"
"NORMANSTONE CREEK","FLUORANTHENE","PAH2",NA,"Not Listed","2","2","0","0","1","0","0","0","20","0.00075 - 0.01",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","FLUORANTHENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","20","0.00075 - 0.01",NA,"NA - not sampled","Remove from Category 3","8","No"
