"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceed-ance","Class C CCC Criterion (ug/L)","ccc_dl_ratio_range","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Reevaluation Categorization Decision for Class C","Decision Logic Case #","Updated TMDL?"
"ANACOSTIA UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","14","56","4","0","56","0","37","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"BROAD BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","14","14","0","0","14","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"DALECARLIA TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"DUMBARTON OAKS","BENZO_K_FLUORANTHENE","PAH3",NA,"3","14","15","0","0","15","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"FENWICK BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"FORT DUPONT TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT STANTON TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","19","20","0","0","20","0","16","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"HICKEY RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","5","6","0","0","6","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"KINGMAN LAKE","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","13","25","1","0","25","0","15","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"KLINGLE VALLEY","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"LUZON BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"MELVIN HAZEN VALLEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","14","14","0","0","14","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"NASH RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","6","7","1","0","7","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"NORMANSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"OXON RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"PINEHURST BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"PINEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"POPE BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","6","7","0","0","7","0","4","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"PORTAL BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","2","0","0","2","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"POTOMAC LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"POTOMAC MIDDLE","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"POTOMAC UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ROCK CREEK LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ROCK CREEK UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"SOAPSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"TEXAS AVENUE TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","6","6","1","0","6","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"TIDAL BASIN","BENZO_K_FLUORANTHENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WASHINGTON SHIP CHANNEL","BENZO_K_FLUORANTHENE","PAH3",NA,"3","7","19","2","0","19","0","12","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WATTS BRANCH LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WATTS BRANCH UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"3","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"BATTERY KEMBLE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"C&O CANAL","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT CHAPLIN TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT DAVIS TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FOUNDRY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ANACOSTIA LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","24","52","1","0","52","0","40","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Move to Category 3","2","Yes"
"ANACOSTIA UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","17","105","0","0","105","0","86","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Move to Category 3","2","Yes"
"BROAD BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","14","14","0","0","14","0","13","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Move to Category 3","2","No"
"DALECARLIA TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Remove from Category 3","8","No"
"DUMBARTON OAKS","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","14","15","2","2","15","2","13","4","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","Yes","Keep in Category 4a","1","No"
"FENWICK BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0","13","0","13","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Not listed - take no action","15","No"
"FORT STANTON TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","16","17","0","0","17","0","13","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Not listed - take no action","15","No"
"HICKEY RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","5","6","0","0","6","0","3","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Move to Category 3","2","Yes"
"KINGMAN LAKE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","13","25","1","0","25","0","15","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Move to Category 3","2","Yes"
"KLINGLE VALLEY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Remove from Category 3","8","No"
"LUZON BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","1","1","0","0","1","0","0","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Move to Category 3","2","No"
"MELVIN HAZEN VALLEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","14","14","0","0","14","0","13","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Keep in Category 3","9","No"
"NASH RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","7","0","0","7","0","3","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Move to Category 3","2","Yes"
"NORMANSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","1","1","0","0","1","0","0","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Not listed - take no action","15","No"
"OXON RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Remove from Category 3","8","No"
"PINEHURST BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Remove from Category 3","8","No"
"PINEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","1","1","0","0","1","0","0","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Move to Category 3","2","No"
"POPE BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","7","1","1","7","1","4","5","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No","Keep in Category 4a","5","Yes"
"PORTAL BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","2","0","0","2","0","0","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Remove from Category 3","8","No"
"POTOMAC LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0","13","0","13","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Not listed - take no action","15","No"
"POTOMAC MIDDLE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0","13","0","13","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Not listed - take no action","15","No"
"POTOMAC UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0","13","0","13","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Not listed - take no action","15","No"
"ROCK CREEK LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","1","1","13","1","13","6","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","Yes","Move to Category 3","18","No"
"ROCK CREEK UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","0","0","0","0","0","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Move to Category 3","2","No"
"SOAPSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","1","1","0","0","1","0","0","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Move to Category 3","2","No"
"TEXAS AVENUE TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","6","1","1","6","1","3","4","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292","No","Keep in Category 4a","5","Yes"
"TIDAL BASIN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","3","3","0","0","3","0","0","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Remove from Category 3","8","No"
"WASHINGTON SHIP CHANNEL","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","7","19","0","0","19","0","12","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Keep in Category 3","9","No"
"WATTS BRANCH LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","7","0","0","7","0","4","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Move to Category 3","2","Yes"
"WATTS BRANCH UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","13","13","0","0","13","0","13","0","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Move to Category 3","2","Yes"
"BATTERY KEMBLE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Not listed - take no action","15","No"
"C&O CANAL","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Not listed - take no action","15","No"
"FORT CHAPLIN TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Not listed - take no action","15","No"
"FORT DAVIS TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Not listed - take no action","15","No"
"FOUNDRY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","4.3E-3","0.326 - 16.3","2.4","0.000583 - 0.0292",NA,"Not listed - take no action","15","No"
"ANACOSTIA LOWER","CHRYSENE","PAH2",NA,"4a","24","52","2","0","52","0","40","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"ANACOSTIA UPPER","CHRYSENE","PAH2",NA,"4a","14","56","7","0","56","0","37","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"BROAD BRANCH","CHRYSENE","PAH2",NA,"Not Listed","14","14","0","0","14","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"DALECARLIA TRIBUTARY","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"DUMBARTON OAKS","CHRYSENE","PAH2",NA,"3","14","15","0","0","15","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"FENWICK BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"FORT DUPONT TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT STANTON TRIBUTARY","CHRYSENE","PAH2",NA,"4a","19","20","1","0","20","0","16","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"HICKEY RUN","CHRYSENE","PAH2",NA,"4a","5","6","2","0","6","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"KINGMAN LAKE","CHRYSENE","PAH2",NA,"4a","13","25","3","0","25","0","15","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"KLINGLE VALLEY","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"LUZON BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"MELVIN HAZEN VALLEY BRANCH","CHRYSENE","PAH2",NA,"3","14","14","0","0","14","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"NASH RUN","CHRYSENE","PAH2",NA,"4a","6","7","3","0","7","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"NORMANSTONE CREEK","CHRYSENE","PAH2",NA,"Not Listed","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"OXON RUN","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"PINEHURST BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"PINEY BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"POPE BRANCH","CHRYSENE","PAH2",NA,"4a","6","7","1","0","7","0","4","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"PORTAL BRANCH","CHRYSENE","PAH2",NA,"3","1","2","0","0","2","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"POTOMAC LOWER","CHRYSENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"POTOMAC MIDDLE","CHRYSENE","PAH2",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"POTOMAC UPPER","CHRYSENE","PAH2",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ROCK CREEK LOWER","CHRYSENE","PAH2",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ROCK CREEK UPPER","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"SOAPSTONE CREEK","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"TEXAS AVENUE TRIBUTARY","CHRYSENE","PAH2",NA,"4a","6","6","1","0","6","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"TIDAL BASIN","CHRYSENE","PAH2",NA,"3","3","3","0","0","3","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WASHINGTON SHIP CHANNEL","CHRYSENE","PAH2",NA,"3","7","19","2","0","19","0","12","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WATTS BRANCH LOWER","CHRYSENE","PAH2",NA,"3","3","3","0","0","3","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"WATTS BRANCH UPPER","CHRYSENE","PAH2",NA,"3","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"BATTERY KEMBLE CREEK","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"C&O CANAL","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT CHAPLIN TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT DAVIS TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FOUNDRY BRANCH","CHRYSENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ANACOSTIA LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","24","52","1","0","52","0","40","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"ANACOSTIA UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","14","56","1","0","56","0","37","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"BROAD BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","14","14","0","0","14","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"DALECARLIA TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"DUMBARTON OAKS","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","14","15","0","0","15","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"FENWICK BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"FORT DUPONT TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"FORT STANTON TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","19","20","0","0","20","0","16","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"HICKEY RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","5","6","0","0","6","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"KINGMAN LAKE","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","13","25","1","0","25","0","15","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"KLINGLE VALLEY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"LUZON BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"MELVIN HAZEN VALLEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","14","14","0","0","14","0","13","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"NASH RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","6","7","1","0","7","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"NORMANSTONE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"OXON RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"PINEHURST BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"PINEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"POPE BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","6","7","1","0","7","0","4","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"PORTAL BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","2","0","0","2","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"POTOMAC LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"POTOMAC MIDDLE","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"POTOMAC UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ROCK CREEK LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","13","13","1","0","13","0","13","0","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"ROCK CREEK UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,"no criteria",NA,NA,"Not listed - take no action","0","No"
"SOAPSTONE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","1","1","0","0","1","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
"TEXAS AVENUE TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","6","6","0","0","6","0","3","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 4a","0","Yes"
"TIDAL BASIN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","3","3","0","0","3","0","0","0","no criteria",NA,"no criteria",NA,NA,"Remove from Category 3","0","No"
