"waterbody_segment","pollutant_name","test_fraction","pollutant_group","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance","n_samples_2011_to_2021","most_recent_sample_2011_to_2021","n_detects_2011_to_2021","most_recent_detect_2011_to_2021","n_ccc_exceedance_2011_to_2021","n_cmc_exceedance_2011_to_2021","n_d_exceedance_2011_to_2021","n_samples_2016_to_2021","most_recent_sample_2016_to_2021","n_detects_2016_to_2021","most_recent_detect_2016_to_2021","n_ccc_exceedance_2016_to_2021","n_cmc_exceedance_2016_to_2021","n_d_exceedance_2016_to_2021","n_c_exceedance","n_c_exceedance_2011_to_2021","n_c_exceedance_2016_to_2021","n_since_most_recent_c_exceedance","most_recent_c_exceedance_date","current_category","ccc_criterion","ccc_dl_ratio_range","ccc_dl_ratio","cmc_criterion","cmc_dl_ratio_range","cmc_dl_ratio","c_criterion","c_dl_ratio","d_criterion","d_dl_ratio_range","d_dl_ratio","tidal_type","fish_tissue_results_class_d","updated_tmdl","d_decision_case_number","decision_category","d_decision_description"
"FENWICK BRANCH","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"2013",0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"4a","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",4,"Category 4a","Keep in Category 4a"
"FORT DUPONT TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",13,2021,1,"2021",13,0,0,1,NA,"Never",NA,"Never",2021-01-13,"2021",0,0,5,13,2021,1,"2021",0,0,1,13,2021,1,"2021",0,0,1,0,0,0,0,NA,"Not Listed","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",18,"Category 3","Move to Category 3"
"FORT STANTON TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",17,2021,0,"Never",16,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,17,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"Not Listed","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"HICKEY RUN","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,0,0,0,0,NA,"3","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"KINGMAN LAKE","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",25,2019,1,"2016",13,0,0,1,NA,"Never",NA,"Never",2016-07-29,"2016",0,0,11,25,2019,1,"2016",0,0,1,15,2019,1,"2016",0,0,1,0,0,0,0,NA,"3","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Tidal","No exceedances","No",12,"Category 3","Keep in Category 3"
"KLINGLE VALLEY","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"2013",0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"4a","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",4,"Category 4a","Keep in Category 4a"
"LUZON BRANCH","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"2013",0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"4a","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",4,"Category 4a","Keep in Category 4a"
"MELVIN HAZEN VALLEY BRANCH","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",14,2021,2,"2021",14,0,0,2,NA,"Never",NA,"Never",2021-02-10,"2021",0,0,4,14,2021,2,"2021",0,0,2,13,2021,2,"2021",0,0,2,0,0,0,0,NA,"3","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",7,"Category 5","Move to Category 5"
"NASH RUN","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",7,2019,2,"2014",6,0,0,2,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,3,7,2019,2,"2014",0,0,2,3,2019,0,"Never",0,0,0,0,0,0,0,NA,"4a","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","Yes",1,"Category 4a","Keep in Category 4a"
"NORMANSTONE CREEK","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"2013",0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"4a","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",4,"Category 4a","Keep in Category 4a"
"OXON RUN","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"PINEHURST BRANCH","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"2013",0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"4a","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",4,"Category 4a","Keep in Category 4a"
"PINEY BRANCH","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"2013",0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"4a","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",4,"Category 4a","Keep in Category 4a"
"POPE BRANCH","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",7,2019,3,"2014",6,0,0,3,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,4,7,2019,3,"2014",0,0,3,4,2019,0,"Never",0,0,0,0,0,0,0,NA,"4a","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","Yes",1,"Category 4a","Keep in Category 4a"
"PORTAL BRANCH","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",2,2013,2,"2013",1,0,0,2,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,2,2013,2,"2013",0,0,2,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"4a","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",1,"Category 4a","Keep in Category 4a"
"POTOMAC LOWER","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"Not Listed","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Tidal","No exceedances","No",15,"Category 2","Not listed - take no action"
"POTOMAC MIDDLE","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",0,0,9,13,2021,1,"2020",0,0,1,13,2021,1,"2020",0,0,1,0,0,0,0,NA,"Not Listed","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Tidal","No exceedances","No",18,"Category 3","Move to Category 3"
"POTOMAC UPPER","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-11-04,"2020",0,0,7,13,2021,1,"2020",0,0,1,13,2021,1,"2020",0,0,1,0,0,0,0,NA,"Not Listed","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Tidal","No exceedances","No",18,"Category 3","Move to Category 3"
"ROCK CREEK LOWER","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",13,2021,7,"2021",13,0,0,7,NA,"Never",NA,"Never",2021-04-15,"2021",0,0,2,13,2021,7,"2021",0,0,7,13,2021,7,"2021",0,0,7,0,0,0,0,NA,"Not Listed","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",14,"Category 5","Move to Category 5"
"ROCK CREEK UPPER","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4a","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",2,"Category 3","Move to Category 3"
"SOAPSTONE CREEK","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"2013",0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"4a","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",4,"Category 4a","Keep in Category 4a"
"TEXAS AVENUE TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",6,2019,3,"2018",6,0,0,3,NA,"Never",NA,"Never",2018-08-30,"2018",0,0,2,6,2019,3,"2018",0,0,3,3,2019,1,"2018",0,0,1,0,0,0,0,NA,"4a","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","Yes",1,"Category 4a","Keep in Category 4a"
"TIDAL BASIN","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Tidal","No exceedances","No",8,"Category 2","Remove from Category 3"
"WASHINGTON SHIP CHANNEL","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",19,2016,0,"Never",7,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2016,0,"Never",0,0,0,12,2016,0,"Never",0,0,0,0,0,0,0,NA,"3","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Tidal","No exceedances","No",9,"Category 3","Keep in Category 3"
"WATTS BRANCH LOWER","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",7,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,0,"Never",0,0,0,4,2019,0,"Never",0,0,0,0,0,0,0,NA,"3","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"WATTS BRANCH UPPER","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",13,2021,1,"2021",13,0,0,1,NA,"Never",NA,"Never",2021-04-15,"2021",0,0,2,13,2021,1,"2021",0,0,1,13,2021,1,"2021",0,0,1,0,0,0,0,NA,"3","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",12,"Category 3","Keep in Category 3"
"BATTERY KEMBLE CREEK","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"C&O CANAL","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FORT DAVIS TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FOUNDRY BRANCH","HEPTACHLOR_EPOXIDE",NA,"HEPTACHLOR_EPOXIDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed","3.8E-3","0.0342 - 1.29","greater than 1","5.1999999999999998E-2","0.00025 -0.00942","less than 1","3.8E-3","greater than 1","3.2e-05","4.06 - 153","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"ANACOSTIA LOWER","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",52,2021,2,"2016",24,0,0,2,NA,"Never",NA,"Never",2016-12-01,"2016",0,0,18,52,2021,2,"2016",0,0,2,40,2021,2,"2016",0,0,2,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Tidal","No exceedances","Yes",1,"Category 4a","Keep in Category 4a"
"ANACOSTIA UPPER","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",56,2019,2,"2016",14,0,0,2,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,28,56,2019,2,"2016",0,0,2,37,2019,1,"2016",0,0,1,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Tidal","No exceedances","Yes",1,"Category 4a","Keep in Category 4a"
"BROAD BRANCH","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",14,2021,1,"2020",14,0,0,1,NA,"Never",NA,"Never",2020-10-07,"2020",0,0,8,14,2021,1,"2020",0,0,1,13,2021,1,"2020",0,0,1,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","No",18,"Category 3","Move to Category 3"
"DALECARLIA TRIBUTARY","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"DUMBARTON OAKS","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"FENWICK BRANCH","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"FORT DUPONT TRIBUTARY","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FORT STANTON TRIBUTARY","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,0,"Never",0,0,0,16,2021,0,"Never",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","Yes",2,"Category 3","Move to Category 3"
"HICKEY RUN","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","Yes",2,"Category 3","Move to Category 3"
"KINGMAN LAKE","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",25,2019,1,"2016",13,0,0,1,NA,"Never",NA,"Never",2016-06-15,"2016",0,0,15,25,2019,1,"2016",0,0,1,15,2019,0,"Never",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Tidal","No exceedances","Yes",5,"Category 4a","Keep in Category 4a"
"KLINGLE VALLEY","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"LUZON BRANCH","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","No",9,"Category 3","Keep in Category 3"
"NASH RUN","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",7,2019,1,"2018",6,0,0,1,NA,"Never",NA,"Never",2018-10-12,"2018",0,0,1,7,2019,1,"2018",0,0,1,3,2019,1,"2018",0,0,1,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","Yes",5,"Category 4a","Keep in Category 4a"
"NORMANSTONE CREEK","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"OXON RUN","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"PINEHURST BRANCH","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"PINEY BRANCH","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"POPE BRANCH","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",7,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,4,7,2019,1,"2014",0,0,1,4,2019,0,"Never",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","Yes",5,"Category 4a","Keep in Category 4a"
"PORTAL BRANCH","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"POTOMAC LOWER","INDENO_1_2_3_CD_PYRENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0013","14.6 - 70.8","greater than 1","Tidal","No exceedances","No",15,"Category 2","Not listed - take no action"
