"Waterbody","Pollutant","Pollutant Group","Test Fraction","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"FORT CHAPLIN TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","63","1","1","63","1","27","59","0.00032","4.38 - 212.9","No","No exceedances","Keep in Category 4a","5"
"ANACOSTIA UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","105","0","0","105","0","68","No exceedance","0.00032","4.38 - 212.9","No exceedance","No exceedances","Move to Category 3","2"
"BROAD BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","25","0","0","25","0","24","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"DALECARLIA TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","26","2","2","26","2","24","15","0.00032","4.38 - 212.9","Yes","NA - not sampled","Keep in Category 4a","1"
"FENWICK BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","29","0","0","29","0","25","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"HICKEY RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","6","0","0","6","0","3","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"KINGMAN LAKE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","25","1","1","25","1","3","20","0.00032","4.38 - 212.9","No","No exceedances","Keep in Category 4a","5"
"KLINGLE VALLEY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"MELVIN HAZEN VALLEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","25","0","0","25","0","24","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","7","0","0","7","0","3","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"NORMANSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"POPE BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","7","1","1","7","1","4","5","0.00032","4.38 - 212.9","No","NA - not sampled","Keep in Category 4a","5"
"PORTAL BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","2","0","0","2","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","0.00032","4.38 - 212.9","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","0.00032","4.38 - 212.9","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","0.00032","4.38 - 212.9","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","24","1","1","24","1","24","17","0.00032","4.38 - 212.9","Yes","NA - not sampled","Move to Category 3","18"
"ROCK CREEK UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"SOAPSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"TEXAS AVENUE TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","6","1","1","6","1","3","4","0.00032","4.38 - 212.9","No","NA - not sampled","Keep in Category 4a","5"
"TIDAL BASIN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","3","0","0","3","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","D","19","0","0","19","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","No exceedances","Remove from Category 3","8"
"WATTS BRANCH LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","7","0","0","7","0","4","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"WATTS BRANCH UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","D","24","0","0","24","0","24","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"BATTERY KEMBLE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","CHRYSENE","PAH2",NA,"4a","D","63","2","2","63","2","27","29","0.13","0.1 - .677","No","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","CHRYSENE","PAH2",NA,"4a","D","56","7","1","56","1","19","49","0.13","0.1 - .677","No","No exceedances","Move to Category 3","6"
"BROAD BRANCH","CHRYSENE","PAH2",NA,"Not Listed","none","25","0","0","25","0","24","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","CHRYSENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","CHRYSENE","PAH2",NA,"3","D","26","0","0","26","0","24","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","10"
"FENWICK BRANCH","CHRYSENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","none","24","1","1","24","1","24","8","0.13","0.1 - .677","Yes","NA - not sampled","Not listed - take no action","16"
"FORT STANTON TRIBUTARY","CHRYSENE","PAH2",NA,"4a","D","32","1","0","32","0","28","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 4a","3"
"HICKEY RUN","CHRYSENE","PAH2",NA,"4a","D","6","2","0","6","0","3","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 4a","3"
"KINGMAN LAKE","CHRYSENE","PAH2",NA,"4a","D","25","3","1","25","1","3","15","0.13","0.1 - .677","No","No exceedances","Move to Category 3","6"
"KLINGLE VALLEY","CHRYSENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","CHRYSENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","CHRYSENE","PAH2",NA,"3","D","25","0","0","25","0","24","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","10"
"NASH RUN","CHRYSENE","PAH2",NA,"4a","D","7","3","1","7","1","3","1","0.13","0.1 - .677","Yes","NA - not sampled","Move to Category 3","6"
"NORMANSTONE CREEK","CHRYSENE","PAH2",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","CHRYSENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","CHRYSENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","CHRYSENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","CHRYSENE","PAH2",NA,"4a","D","7","1","0","7","0","4","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 4a","3"
"PORTAL BRANCH","CHRYSENE","PAH2",NA,"3","D","2","0","0","2","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","CHRYSENE","PAH2",NA,"Not Listed","none","24","1","1","24","1","24","4","0.13","0.1 - .677","Yes","No exceedances","Not listed - take no action","16"
"POTOMAC MIDDLE","CHRYSENE","PAH2",NA,"Not Listed","none","24","1","1","24","1","24","21","0.13","0.1 - .677","Yes","No exceedances","Not listed - take no action","16"
"POTOMAC UPPER","CHRYSENE","PAH2",NA,"Not Listed","none","24","1","1","24","1","24","20","0.13","0.1 - .677","Yes","No exceedances","Not listed - take no action","16"
"ROCK CREEK LOWER","CHRYSENE","PAH2",NA,"Not Listed","none","24","2","2","24","2","24","9","0.13","0.1 - .677","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","CHRYSENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","CHRYSENE","PAH2",NA,"3","D","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","CHRYSENE","PAH2",NA,"4a","D","6","1","1","6","1","3","3","0.13","0.1 - .677","No","NA - not sampled","Move to Category 3","6"
"TIDAL BASIN","CHRYSENE","PAH2",NA,"3","D","3","0","0","3","0","0","No exceedance","0.13","0.1 - .677","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","CHRYSENE","PAH2",NA,"3","D","19","2","1","19","1","0","4","0.13","0.1 - .677","No","No exceedances","Remove from Category 3","13"
"WATTS BRANCH LOWER","CHRYSENE","PAH2",NA,"3","D","3","0","0","3","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","CHRYSENE","PAH2",NA,"3","D","24","1","1","24","1","24","3","0.13","0.1 - .677","Yes","NA - not sampled","Remove from Category 3","13"
"BATTERY KEMBLE CREEK","CHRYSENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","CHRYSENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","CHRYSENE","PAH2",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","D","63","1","1","63","1","27","39","0.00013","115 - 600","No","No exceedances","Keep in Category 4a","5"
"ANACOSTIA UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","D","56","1","1","56","1","19","28","0.00013","115 - 600","No","No exceedances","Keep in Category 4a","5"
"BROAD BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","none","25","0","0","25","0","24","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","26","0","0","26","0","24","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","8","0.00013","115 - 600","Yes","NA - not sampled","Move to Category 3","18"
"FORT STANTON TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","D","32","0","0","32","0","28","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Move to Category 3","2"
"HICKEY RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","D","6","0","0","6","0","3","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Move to Category 3","2"
"KINGMAN LAKE","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","D","25","1","1","25","1","3","15","0.00013","115 - 600","No","No exceedances","Keep in Category 4a","5"
"KLINGLE VALLEY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","25","0","0","25","0","24","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","D","7","1","1","7","1","3","1","0.00013","115 - 600","Yes","NA - not sampled","Keep in Category 4a","5"
"NORMANSTONE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","D","7","1","1","7","1","4","4","0.00013","115 - 600","No","NA - not sampled","Keep in Category 4a","5"
"PORTAL BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","2","0","0","2","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","4","0.00013","115 - 600","Yes","No exceedances","Move to Category 3","18"
"POTOMAC MIDDLE","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","21","0.00013","115 - 600","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","none","24","1","1","24","1","24","20","0.00013","115 - 600","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","none","24","2","2","24","2","24","9","0.00013","115 - 600","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"4a","D","6","0","0","6","0","3","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Move to Category 3","2"
"TIDAL BASIN","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","3","0","0","3","0","0","No exceedance","0.00013","115 - 600","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","19","2","2","19","2","0","4","0.00013","115 - 600","No","No exceedances","Move to Category 5","7"
"WATTS BRANCH LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","3","0","0","3","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"3","D","24","1","1","24","1","24","3","0.00013","115 - 600","Yes","NA - not sampled","Keep in Category 3","12"
"BATTERY KEMBLE CREEK","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00013","115 - 600","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","DIELDRIN","DIELDRIN",NA,"4a","D","63","2","2","63","2","27","11","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"ANACOSTIA UPPER","DIELDRIN","DIELDRIN",NA,"4a","D","105","38","38","105","38","68","0","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Keep in Category 4a","1"
"BROAD BRANCH","DIELDRIN","DIELDRIN",NA,"4a","D","25","18","18","25","18","24","0","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in Category 4a","1"
"DALECARLIA TRIBUTARY","DIELDRIN","DIELDRIN",NA,"4a","D","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"DUMBARTON OAKS","DIELDRIN","DIELDRIN",NA,"4a","D","26","24","24","26","24","24","0","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in Category 4a","1"
"FENWICK BRANCH","DIELDRIN","DIELDRIN",NA,"4a","D","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"FORT DUPONT TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","DIELDRIN","DIELDRIN",NA,"Not Listed","none","29","1","1","29","1","25","3","1.2e-06","100 - 3420","Yes","NA - not sampled","Move to Category 3","18"
"HICKEY RUN","DIELDRIN","DIELDRIN",NA,"3","D","6","0","0","6","0","3","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Keep in Category 3","9"
"KINGMAN LAKE","DIELDRIN","DIELDRIN",NA,"3","D","25","2","2","25","2","3","2","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Move to Category 5","7"
"KLINGLE VALLEY","DIELDRIN","DIELDRIN",NA,"4a","D","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"LUZON BRANCH","DIELDRIN","DIELDRIN",NA,"4a","D","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"MELVIN HAZEN VALLEY BRANCH","DIELDRIN","DIELDRIN",NA,"4a","D","25","15","15","25","15","24","2","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in Category 4a","1"
"NASH RUN","DIELDRIN","DIELDRIN",NA,"4a","D","7","1","1","7","1","3","3","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","5"
"NORMANSTONE CREEK","DIELDRIN","DIELDRIN",NA,"4a","D","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"OXON RUN","DIELDRIN","DIELDRIN",NA,"4a","D","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"PINEHURST BRANCH","DIELDRIN","DIELDRIN",NA,"4a","D","2","2","2","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"PINEY BRANCH","DIELDRIN","DIELDRIN",NA,"4a","D","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"POPE BRANCH","DIELDRIN","DIELDRIN",NA,"3","D","7","2","2","7","2","4","1","1.2e-06","100 - 3420","Yes","NA - not sampled","Move to Category 5","7"
"PORTAL BRANCH","DIELDRIN","DIELDRIN",NA,"4a","D","2","2","2","2","2","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","1"
"POTOMAC LOWER","DIELDRIN","DIELDRIN",NA,"Not Listed","none","24","1","1","24","1","24","20","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Move to Category 3","18"
"POTOMAC MIDDLE","DIELDRIN","DIELDRIN",NA,"Not Listed","none","24","2","2","24","2","24","20","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Move to Category 5","14"
"POTOMAC UPPER","DIELDRIN","DIELDRIN",NA,"Not Listed","none","24","1","1","24","1","24","11","1.2e-06","100 - 3420","Yes","Exceedances in fish tissue","Move to Category 3","18"
"ROCK CREEK LOWER","DIELDRIN","DIELDRIN",NA,"Not Listed","none","25","10","10","24","10","24","3","1.2e-06","100 - 3420","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","DIELDRIN","DIELDRIN",NA,"4a","D","19","0","0","0","0","0","No exceedance","1.2e-06","100 - 3420","No exceedance","NA - not sampled","Move to Category 3","2"
"SOAPSTONE CREEK","DIELDRIN","DIELDRIN",NA,"4a","D","1","1","1","1","1","0","0","1.2e-06","100 - 3420","No","NA - not sampled","Keep in Category 4a","4"
"TEXAS AVENUE TRIBUTARY","DIELDRIN","DIELDRIN",NA,"4a","D","6","5","5","6","5","3","1","1.2e-06","100 - 3420","Yes","NA - not sampled","Keep in Category 4a","1"
