"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_c","most_recent_class_c_exceedance","number_of_samples_since_last_class_c_exceedance","has_there_been_multi_class_c_exceedance_in_3yr","when_was_last_period_with_multi_class_c_exceedance"
"FORT CHAPLIN TRIBUTARY","DIELDRIN",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","DIELDRIN",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","DIELDRIN",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","HEPTACHLOR_EPOXIDE",NA,"","","52","40","2021","1","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA UPPER","HEPTACHLOR_EPOXIDE",NA,"","","105","86","2019","23","2019","1 (CCC), 0 (CMC)","2018 (CCC) NA (CMC)","23 (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"BROAD BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","14","13","2021","8","2021","1 (CCC), 0 (CMC)","2021 (CCC) NA (CMC)","3 (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"DALECARLIA TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","HEPTACHLOR_EPOXIDE",NA,"","","15","13","2021","11","2021","5 (CCC), 0 (CMC)","2021 (CCC) NA (CMC)","2 (CCC), NA (CMC)","Yes (CCC), No (CMC)","2018 - 2021 (CCC), Never (CMC)"
"FENWICK BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","13","13","2021","1","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT STANTON TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","17","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"HICKEY RUN","HEPTACHLOR_EPOXIDE",NA,"","","6","3","2019","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KINGMAN LAKE","HEPTACHLOR_EPOXIDE",NA,"","","25","15","2019","1","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KLINGLE VALLEY","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","14","13","2021","2","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"NASH RUN","HEPTACHLOR_EPOXIDE",NA,"","","7","3","2019","2","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"NORMANSTONE CREEK","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","7","4","2019","3","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"PORTAL BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","2","0","2013","2","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"POTOMAC LOWER","HEPTACHLOR_EPOXIDE",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","HEPTACHLOR_EPOXIDE",NA,"","","13","13","2021","1","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC UPPER","HEPTACHLOR_EPOXIDE",NA,"","","13","13","2021","1","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","HEPTACHLOR_EPOXIDE",NA,"","","13","13","2021","7","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"ROCK CREEK UPPER","HEPTACHLOR_EPOXIDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","HEPTACHLOR_EPOXIDE",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","6","3","2019","3","2018","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"TIDAL BASIN","HEPTACHLOR_EPOXIDE",NA,"","","3","0","2014","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","HEPTACHLOR_EPOXIDE",NA,"","","19","12","2016","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH LOWER","HEPTACHLOR_EPOXIDE",NA,"","","7","4","2019","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH UPPER","HEPTACHLOR_EPOXIDE",NA,"","","13","13","2021","1","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BATTERY KEMBLE CREEK","HEPTACHLOR_EPOXIDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","HEPTACHLOR_EPOXIDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","HEPTACHLOR_EPOXIDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","HEPTACHLOR_EPOXIDE",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","PAH1",NA,"","","52","40","2021","1","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA UPPER","PAH1",NA,"","","56","37","2019","3","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BROAD BRANCH","PAH1",NA,"","","15","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DALECARLIA TRIBUTARY","PAH1",NA,"","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","PAH1",NA,"","","16","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FENWICK BRANCH","PAH1",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","PAH1",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT STANTON TRIBUTARY","PAH1",NA,"","","20","16","2021","1","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"HICKEY RUN","PAH1",NA,"","","6","3","2019","2","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KINGMAN LAKE","PAH1",NA,"","","25","15","2019","3","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KLINGLE VALLEY","PAH1",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","PAH1",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","PAH1",NA,"","","14","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NASH RUN","PAH1",NA,"","","7","3","2019","2","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NORMANSTONE CREEK","PAH1",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","PAH1",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","PAH1",NA,"","","4","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","PAH1",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","PAH1",NA,"","","7","4","2019","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PORTAL BRANCH","PAH1",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC LOWER","PAH1",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","PAH1",NA,"","","13","13","2021","1","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC UPPER","PAH1",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","PAH1",NA,"","","19","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK UPPER","PAH1",NA,"","","11","0","2008","1","2008","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","PAH1",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","PAH1",NA,"","","6","3","2019","1","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TIDAL BASIN","PAH1",NA,"","","3","0","2014","1","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","PAH1",NA,"","","19","12","2016","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH LOWER","PAH1",NA,"","","3","0","2014","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH UPPER","PAH1",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BATTERY KEMBLE CREEK","PAH1",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","PAH1",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","PAH1",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","PAH1",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","PAH1",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","PAH2",NA,"","","52","40","2021","16","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"ANACOSTIA UPPER","PAH2",NA,"","","56","37","2019","31","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"BROAD BRANCH","PAH2",NA,"","","15","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DALECARLIA TRIBUTARY","PAH2",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","PAH2",NA,"","","16","13","2021","1","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FENWICK BRANCH","PAH2",NA,"","","2","0","2013","1","2007","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","PAH2",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT STANTON TRIBUTARY","PAH2",NA,"","","20","16","2021","2","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"HICKEY RUN","PAH2",NA,"","","6","3","2019","2","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"KINGMAN LAKE","PAH2",NA,"","","25","15","2019","14","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"KLINGLE VALLEY","PAH2",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","PAH2",NA,"","","2","0","2013","1","2007","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","PAH2",NA,"","","14","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NASH RUN","PAH2",NA,"","","7","3","2019","4","2018","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"NORMANSTONE CREEK","PAH2",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","PAH2",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","PAH2",NA,"","","4","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","PAH2",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","PAH2",NA,"","","7","4","2019","1","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PORTAL BRANCH","PAH2",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC LOWER","PAH2",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","PAH2",NA,"","","13","13","2021","1","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC UPPER","PAH2",NA,"","","13","13","2021","1","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","PAH2",NA,"","","19","13","2021","7","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK UPPER","PAH2",NA,"","","11","0","2008","9","2008","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","PAH2",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","PAH2",NA,"","","6","3","2019","1","2014","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TIDAL BASIN","PAH2",NA,"","","3","0","2014","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","PAH2",NA,"","","19","12","2016","4","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"WATTS BRANCH LOWER","PAH2",NA,"","","3","0","2014","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH UPPER","PAH2",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BATTERY KEMBLE CREEK","PAH2",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","PAH2",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","PAH2",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","PAH2",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","PAH2",NA,"","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","PAH3",NA,"","","52","40","2021","2","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"ANACOSTIA UPPER","PAH3",NA,"","","56","37","2019","5","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC), No (CMC)","Never (CCC), Never (CMC)"
"BROAD BRANCH","PAH3",NA,"","","15","13","2021","1","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DALECARLIA TRIBUTARY","PAH3",NA,"","","1","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","PAH3",NA,"","","16","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FENWICK BRANCH","PAH3",NA,"","","2","0","2013","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","PAH3",NA,"","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","0 (CCC), 0 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
