"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"PORTAL BRANCH","BENZO_A_PYRENE","PAH3",NA,"3","1","2","0","0","2","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.00013","100 - 1540","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","10","0.00013","100 - 1540","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","9","0.00013","100 - 1540","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","14","21","0","0","13","0","13","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"ROCK CREEK UPPER","BENZO_A_PYRENE","PAH3",NA,"Not Listed","6","23","4","4","0","0","0","0","0.00013","100 - 1540","No","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","BENZO_A_PYRENE","PAH3",NA,"3","2","2","0","0","1","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"4a","6","6","0","0","6","0","3","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Move to Category 3","2"
"TIDAL BASIN","BENZO_A_PYRENE","PAH3",NA,"3","3","3","0","0","3","0","0","No exceedance","0.00013","100 - 1540","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","BENZO_A_PYRENE","PAH3",NA,"3","7","19","1","1","19","1","12","4","0.00013","100 - 1540","Yes","No exceedances","Keep in Category 3","12"
"WATTS BRANCH LOWER","BENZO_A_PYRENE","PAH3",NA,"3","3","3","0","0","3","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","BENZO_A_PYRENE","PAH3",NA,"3","13","13","0","0","13","0","13","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","BENZO_A_PYRENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00013","100 - 1540","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","24","52","2","2","52","2","40","18","0.0013","11.5 - 13.1","Yes","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","14","56","7","7","56","7","37","28","0.0013","11.5 - 13.1","Yes","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","14","14","0","0","14","0","13","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","BENZO_B_FLUORANTHENE","PAH3",NA,"3","14","15","0","0","15","0","13","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","19","20","1","1","20","1","16","16","0.0013","11.5 - 13.1","No","NA - not sampled","Keep in Category 4a","5"
"HICKEY RUN","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","5","6","0","0","6","0","3","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Move to Category 3","2"
"KINGMAN LAKE","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","13","25","3","3","25","3","15","10","0.0013","11.5 - 13.1","Yes","No exceedances","Keep in Category 4a","1"
"KLINGLE VALLEY","BENZO_B_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"3","14","14","0","0","14","0","13","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","6","7","1","1","7","1","3","1","0.0013","11.5 - 13.1","Yes","NA - not sampled","Keep in Category 4a","5"
"NORMANSTONE CREEK","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","BENZO_B_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","6","7","1","1","7","1","4","4","0.0013","11.5 - 13.1","No","NA - not sampled","Keep in Category 4a","5"
"PORTAL BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"3","1","2","0","0","2","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.0013","11.5 - 13.1","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","10","0.0013","11.5 - 13.1","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","9","0.0013","11.5 - 13.1","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","11","0.0013","11.5 - 13.1","Yes","NA - not sampled","Move to Category 3","18"
"ROCK CREEK UPPER","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","BENZO_B_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"4a","6","6","1","1","6","1","3","3","0.0013","11.5 - 13.1","No","NA - not sampled","Keep in Category 4a","5"
"TIDAL BASIN","BENZO_B_FLUORANTHENE","PAH3",NA,"3","3","3","0","0","3","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","BENZO_B_FLUORANTHENE","PAH3",NA,"3","7","19","2","2","19","2","12","4","0.0013","11.5 - 13.1","Yes","No exceedances","Move to Category 5","7"
"WATTS BRANCH LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,"3","3","3","0","0","3","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","BENZO_B_FLUORANTHENE","PAH3",NA,"3","13","13","0","0","13","0","13","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.0013","11.5 - 13.1","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","24","52","2","2","52","2","40","18","0.013","4 - 7.38","Yes","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","14","56","4","4","56","4","37","28","0.013","4 - 7.38","Yes","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","14","14","0","0","14","0","13","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","BENZO_K_FLUORANTHENE","PAH3",NA,"3","14","15","0","0","15","0","13","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","19","20","0","0","20","0","16","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Move to Category 3","2"
"HICKEY RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","5","6","0","0","6","0","3","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Move to Category 3","2"
"KINGMAN LAKE","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","13","25","1","1","25","1","15","15","0.013","4 - 7.38","No","No exceedances","Keep in Category 4a","5"
"KLINGLE VALLEY","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","14","14","0","0","14","0","13","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","6","7","1","1","7","1","3","1","0.013","4 - 7.38","Yes","NA - not sampled","Keep in Category 4a","5"
"NORMANSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","6","7","0","0","7","0","4","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Move to Category 3","2"
"PORTAL BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","2","0","0","2","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.013","4 - 7.38","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","10","0.013","4 - 7.38","Yes","No exceedances","Move to Category 3","18"
"POTOMAC UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","9","0.013","4 - 7.38","Yes","No exceedances","Move to Category 3","18"
"ROCK CREEK LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","13","13","1","1","13","1","13","11","0.013","4 - 7.38","Yes","NA - not sampled","Move to Category 3","18"
"ROCK CREEK UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"3","1","1","0","0","1","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"4a","6","6","1","1","6","1","3","3","0.013","4 - 7.38","No","NA - not sampled","Keep in Category 4a","5"
"TIDAL BASIN","BENZO_K_FLUORANTHENE","PAH3",NA,"3","3","3","0","0","3","0","0","No exceedance","0.013","4 - 7.38","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","BENZO_K_FLUORANTHENE","PAH3",NA,"3","7","19","2","2","19","2","12","4","0.013","4 - 7.38","Yes","No exceedances","Move to Category 5","7"
"WATTS BRANCH LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,"3","3","3","0","0","3","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Remove from Category 3","8"
"WATTS BRANCH UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,"3","13","13","0","0","13","0","13","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.013","4 - 7.38","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","24","52","1","1","52","1","40","48","0.00032","4.38 - 212.9","No","No exceedances","Keep in Category 4a","5"
"ANACOSTIA UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","17","105","0","0","105","0","86","No exceedance","0.00032","4.38 - 212.9","No exceedance","No exceedances","Move to Category 3","2"
"BROAD BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","14","14","0","0","14","0","13","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"DALECARLIA TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","14","15","2","2","15","2","13","4","0.00032","4.38 - 212.9","Yes","NA - not sampled","Keep in Category 4a","1"
"FENWICK BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","16","17","0","0","17","0","13","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"HICKEY RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","5","6","0","0","6","0","3","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"KINGMAN LAKE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","13","25","1","1","25","1","15","20","0.00032","4.38 - 212.9","No","No exceedances","Keep in Category 4a","5"
"KLINGLE VALLEY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","1","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"MELVIN HAZEN VALLEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","14","14","0","0","14","0","13","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Keep in Category 3","9"
"NASH RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","7","0","0","7","0","3","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"NORMANSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","1","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","1","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"POPE BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","7","1","1","7","1","4","5","0.00032","4.38 - 212.9","No","NA - not sampled","Keep in Category 4a","5"
"PORTAL BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","1","2","0","0","2","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.00032","4.38 - 212.9","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.00032","4.38 - 212.9","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.00032","4.38 - 212.9","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","13","13","1","1","13","1","13","6","0.00032","4.38 - 212.9","Yes","NA - not sampled","Move to Category 3","18"
"ROCK CREEK UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","0","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"SOAPSTONE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","1","1","0","0","1","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"TEXAS AVENUE TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","6","1","1","6","1","3","4","0.00032","4.38 - 212.9","No","NA - not sampled","Keep in Category 4a","5"
"TIDAL BASIN","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","3","3","0","0","3","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"3","7","19","0","0","19","0","12","No exceedance","0.00032","4.38 - 212.9","No exceedance","No exceedances","Keep in Category 3","9"
"WATTS BRANCH LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","6","7","0","0","7","0","4","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"WATTS BRANCH UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"4a","13","13","0","0","13","0","13","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Move to Category 3","2"
"BATTERY KEMBLE CREEK","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","0.00032","4.38 - 212.9","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","CHRYSENE","PAH2",NA,"4a","24","52","2","2","52","2","40","18","0.13","0.1 - .677","Yes","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","CHRYSENE","PAH2",NA,"4a","14","56","7","1","56","1","37","49","0.13","0.1 - .677","No","No exceedances","Move to Category 3","6"
"BROAD BRANCH","CHRYSENE","PAH2",NA,"Not Listed","14","14","0","0","14","0","13","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","CHRYSENE","PAH2",NA,"3","14","15","0","0","15","0","13","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","10"
"FENWICK BRANCH","CHRYSENE","PAH2",NA,"3","1","1","0","0","1","0","0","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","CHRYSENE","PAH2",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","CHRYSENE","PAH2",NA,"4a","19","20","1","0","20","0","16","No exceedance","0.13","0.1 - .677","No exceedance","NA - not sampled","Remove from Category 4a","3"
