"Waterbody","Pollutant","Pollutant Group","Current Categorization in 2020 IR","Class C Decision","Class C Case #","Class D Decision","Class D Case #","Reconciliation of Class C and Class D Categorization Decision"
"FORT DAVIS TRIBUTARY","DIBENZO_A_H_ANTHRACENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","DIELDRIN","DIELDRIN","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"ANACOSTIA UPPER","DIELDRIN","DIELDRIN","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"BROAD BRANCH","DIELDRIN","DIELDRIN","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"DALECARLIA TRIBUTARY","DIELDRIN","DIELDRIN","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"DUMBARTON OAKS","DIELDRIN","DIELDRIN","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"FENWICK BRANCH","DIELDRIN","DIELDRIN","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"FORT DUPONT TRIBUTARY","DIELDRIN","DIELDRIN","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","DIELDRIN","DIELDRIN","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"HICKEY RUN","DIELDRIN","DIELDRIN","3","Remove from Category 3",10,"Keep in Category 3",9,"Keep in Category 3"
"KINGMAN LAKE","DIELDRIN","DIELDRIN","3","Remove from Category 3",10,"Move to Category 5",7,"Move to Category 5"
"KLINGLE VALLEY","DIELDRIN","DIELDRIN","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"LUZON BRANCH","DIELDRIN","DIELDRIN","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"MELVIN HAZEN VALLEY BRANCH","DIELDRIN","DIELDRIN","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"NASH RUN","DIELDRIN","DIELDRIN","4a","Remove from Category 4a",3,"Keep in Category 4a",5,"Keep in Category 4a"
"NORMANSTONE CREEK","DIELDRIN","DIELDRIN","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"OXON RUN","DIELDRIN","DIELDRIN","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"PINEHURST BRANCH","DIELDRIN","DIELDRIN","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"PINEY BRANCH","DIELDRIN","DIELDRIN","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"POPE BRANCH","DIELDRIN","DIELDRIN","3","Remove from Category 3",10,"Move to Category 5",7,"Move to Category 5"
"PORTAL BRANCH","DIELDRIN","DIELDRIN","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"POTOMAC LOWER","DIELDRIN","DIELDRIN","Not Listed","Not listed - take no action",15,"Move to Category 3",18,"Move to Category 3"
"POTOMAC MIDDLE","DIELDRIN","DIELDRIN","Not Listed","Not listed - take no action",15,"Move to Category 5",14,"Move to Category 5"
"POTOMAC UPPER","DIELDRIN","DIELDRIN","Not Listed","Not listed - take no action",15,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK LOWER","DIELDRIN","DIELDRIN","Not Listed","Not listed - take no action",15,"Move to Category 5",14,"Move to Category 5"
"ROCK CREEK UPPER","DIELDRIN","DIELDRIN","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"SOAPSTONE CREEK","DIELDRIN","DIELDRIN","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"TEXAS AVENUE TRIBUTARY","DIELDRIN","DIELDRIN","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"TIDAL BASIN","DIELDRIN","DIELDRIN","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","DIELDRIN","DIELDRIN","3","Remove from Category 3",10,"Keep in Category 3",9,"Keep in Category 3"
"WATTS BRANCH LOWER","DIELDRIN","DIELDRIN","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"WATTS BRANCH UPPER","DIELDRIN","DIELDRIN","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"BATTERY KEMBLE CREEK","DIELDRIN","DIELDRIN","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","DIELDRIN","DIELDRIN","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","DIELDRIN","DIELDRIN","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","DIELDRIN","DIELDRIN","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","DIELDRIN","DIELDRIN","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","FLUORANTHENE","PAH2","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"ANACOSTIA UPPER","FLUORANTHENE","PAH2","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"BROAD BRANCH","FLUORANTHENE","PAH2","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","FLUORANTHENE","PAH2","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","FLUORANTHENE","PAH2","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"FENWICK BRANCH","FLUORANTHENE","PAH2","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","FLUORANTHENE","PAH2","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","FLUORANTHENE","PAH2","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"HICKEY RUN","FLUORANTHENE","PAH2","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"KINGMAN LAKE","FLUORANTHENE","PAH2","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"KLINGLE VALLEY","FLUORANTHENE","PAH2","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","FLUORANTHENE","PAH2","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","FLUORANTHENE","PAH2","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"NASH RUN","FLUORANTHENE","PAH2","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"NORMANSTONE CREEK","FLUORANTHENE","PAH2","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","FLUORANTHENE","PAH2","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","FLUORANTHENE","PAH2","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","FLUORANTHENE","PAH2","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","FLUORANTHENE","PAH2","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"PORTAL BRANCH","FLUORANTHENE","PAH2","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","FLUORANTHENE","PAH2","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","FLUORANTHENE","PAH2","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC UPPER","FLUORANTHENE","PAH2","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK LOWER","FLUORANTHENE","PAH2","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK UPPER","FLUORANTHENE","PAH2","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","FLUORANTHENE","PAH2","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","FLUORANTHENE","PAH2","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"TIDAL BASIN","FLUORANTHENE","PAH2","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","FLUORANTHENE","PAH2","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"WATTS BRANCH LOWER","FLUORANTHENE","PAH2","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"WATTS BRANCH UPPER","FLUORANTHENE","PAH2","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"BATTERY KEMBLE CREEK","FLUORANTHENE","PAH2","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","FLUORANTHENE","PAH2","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","FLUORANTHENE","PAH2","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","FLUORANTHENE","PAH2","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","FLUORANTHENE","PAH2","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","FLUORENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"ANACOSTIA UPPER","FLUORENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"BROAD BRANCH","FLUORENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"FENWICK BRANCH","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","FLUORENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","FLUORENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"HICKEY RUN","FLUORENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"KINGMAN LAKE","FLUORENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"KLINGLE VALLEY","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"NASH RUN","FLUORENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"NORMANSTONE CREEK","FLUORENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","FLUORENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"PORTAL BRANCH","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","FLUORENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","FLUORENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC UPPER","FLUORENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK LOWER","FLUORENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK UPPER","FLUORENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","FLUORENE","PAH1","4a","Remove from Category 4a",0,"Remove from Category 4a",3,"Remove from Category 4a"
"TIDAL BASIN","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"WATTS BRANCH LOWER","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WATTS BRANCH UPPER","FLUORENE","PAH1","3","Remove from Category 3",0,"Remove from Category 3",10,"Remove from Category 3"
"BATTERY KEMBLE CREEK","FLUORENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","FLUORENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","FLUORENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","FLUORENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","FLUORENE","PAH1","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Keep in Category 4a",5,"Keep in Category 4a"
"ANACOSTIA UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Keep in Category 4a",5,"Keep in Category 4a",1,"Keep in Category 4a"
"BROAD BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Keep in Category 4a",5,"Keep in Category 4a",1,"Keep in Category 4a"
"DALECARLIA TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"DUMBARTON OAKS","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Keep in Category 4a",1,"Keep in Category 4a",1,"Keep in Category 4a"
"FENWICK BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"FORT DUPONT TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","Not Listed","Not listed - take no action",15,"Move to Category 3",18,"Move to Category 3"
"FORT STANTON TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"HICKEY RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"KINGMAN LAKE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","3","Keep in Category 3",9,"Keep in Category 3",12,"Keep in Category 3"
"KLINGLE VALLEY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"LUZON BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"MELVIN HAZEN VALLEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","3","Keep in Category 3",9,"Move to Category 5",7,"Move to Category 5"
"NASH RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"NORMANSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"OXON RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"PINEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"POPE BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"PORTAL BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"POTOMAC LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","Not Listed","Not listed - take no action",15,"Move to Category 3",18,"Move to Category 3"
"POTOMAC UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","Not Listed","Not listed - take no action",15,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","Not Listed","Not listed - take no action",15,"Move to Category 5",14,"Move to Category 5"
"ROCK CREEK UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Move to Category 3",2,"Move to Category 3"
"SOAPSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Keep in Category 4a",4,"Keep in Category 4a"
"TEXAS AVENUE TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","4a","Move to Category 3",2,"Keep in Category 4a",1,"Keep in Category 4a"
"TIDAL BASIN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"WATTS BRANCH LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"WATTS BRANCH UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","3","Keep in Category 3",9,"Keep in Category 3",12,"Keep in Category 3"
"BATTERY KEMBLE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","INDENO_1_2_3_CD_PYRENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"ANACOSTIA UPPER","INDENO_1_2_3_CD_PYRENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",1,"Keep in Category 4a"
"BROAD BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"DALECARLIA TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"FENWICK BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
"HICKEY RUN","INDENO_1_2_3_CD_PYRENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
"KINGMAN LAKE","INDENO_1_2_3_CD_PYRENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"KLINGLE VALLEY","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"NASH RUN","INDENO_1_2_3_CD_PYRENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"NORMANSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3","4a","Remove from Category 4a",0,"Keep in Category 4a",5,"Keep in Category 4a"
"PORTAL BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","INDENO_1_2_3_CD_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","INDENO_1_2_3_CD_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"POTOMAC UPPER","INDENO_1_2_3_CD_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK LOWER","INDENO_1_2_3_CD_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK UPPER","INDENO_1_2_3_CD_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3","4a","Remove from Category 4a",0,"Move to Category 3",2,"Move to Category 3"
"TIDAL BASIN","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Move to Category 5",7,"Move to Category 5"
"WATTS BRANCH LOWER","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Remove from Category 3",8,"Remove from Category 3"
"WATTS BRANCH UPPER","INDENO_1_2_3_CD_PYRENE","PAH3","3","Remove from Category 3",0,"Keep in Category 3",9,"Keep in Category 3"
"BATTERY KEMBLE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","INDENO_1_2_3_CD_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3","Not Listed","Not listed - take no action",0,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","NAPHTHALENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",0,"Remove from Category 4a"
"ANACOSTIA UPPER","NAPHTHALENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",0,"Remove from Category 4a"
"BROAD BRANCH","NAPHTHALENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"DALECARLIA TRIBUTARY","NAPHTHALENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"DUMBARTON OAKS","NAPHTHALENE","PAH1","3","Remove from Category 3",10,"Remove from Category 3",0,"Remove from Category 3"
"FENWICK BRANCH","NAPHTHALENE","PAH1","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","NAPHTHALENE","PAH1","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"FORT STANTON TRIBUTARY","NAPHTHALENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",0,"Remove from Category 4a"
"HICKEY RUN","NAPHTHALENE","PAH1","4a","Remove from Category 4a",3,"Remove from Category 4a",0,"Remove from Category 4a"
