"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceedance","Class C CCC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CCC","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Reevaluation Categorization Decision for Class C","Decision Logic Case #"
"BATTERY KEMBLE CREEK","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375 - 0.0005","no criteria",NA,"No exceedance","Not listed - take no action","15"
"C&O CANAL","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375 - 0.0005","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375 - 0.0005","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375 - 0.0005","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","FLUORANTHENE","PAH2",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","400","0.0000375 - 0.0005","no criteria",NA,"No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","FLUORENE","PAH1",NA,"4a","24","52","1","N/A - no Class C WQ criteria","52","N/A - no Class C WQ criteria","40","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"ANACOSTIA UPPER","FLUORENE","PAH1",NA,"4a","14","56","2","N/A - no Class C WQ criteria","56","N/A - no Class C WQ criteria","37","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"BROAD BRANCH","FLUORENE","PAH1",NA,"Not Listed","14","14","0","N/A - no Class C WQ criteria","14","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","FLUORENE","PAH1",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"DUMBARTON OAKS","FLUORENE","PAH1",NA,"3","14","15","0","N/A - no Class C WQ criteria","15","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FENWICK BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FORT DUPONT TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT STANTON TRIBUTARY","FLUORENE","PAH1",NA,"4a","19","20","0","N/A - no Class C WQ criteria","20","N/A - no Class C WQ criteria","16","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"HICKEY RUN","FLUORENE","PAH1",NA,"4a","5","6","0","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KINGMAN LAKE","FLUORENE","PAH1",NA,"4a","13","25","1","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","15","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KLINGLE VALLEY","FLUORENE","PAH1",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"LUZON BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"MELVIN HAZEN VALLEY BRANCH","FLUORENE","PAH1",NA,"3","14","14","0","N/A - no Class C WQ criteria","14","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"NASH RUN","FLUORENE","PAH1",NA,"4a","6","7","0","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"NORMANSTONE CREEK","FLUORENE","PAH1",NA,"Not Listed","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"OXON RUN","FLUORENE","PAH1",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEHURST BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEY BRANCH","FLUORENE","PAH1",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POPE BRANCH","FLUORENE","PAH1",NA,"4a","6","7","0","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","4","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"PORTAL BRANCH","FLUORENE","PAH1",NA,"3","1","2","0","N/A - no Class C WQ criteria","2","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POTOMAC LOWER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC MIDDLE","FLUORENE","PAH1",NA,"Not Listed","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC UPPER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK LOWER","FLUORENE","PAH1",NA,"Not Listed","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK UPPER","FLUORENE","PAH1",NA,"Not Listed","0","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"SOAPSTONE CREEK","FLUORENE","PAH1",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"TEXAS AVENUE TRIBUTARY","FLUORENE","PAH1",NA,"4a","6","6","0","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"TIDAL BASIN","FLUORENE","PAH1",NA,"3","3","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WASHINGTON SHIP CHANNEL","FLUORENE","PAH1",NA,"3","7","19","0","N/A - no Class C WQ criteria","19","N/A - no Class C WQ criteria","12","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH LOWER","FLUORENE","PAH1",NA,"3","3","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH UPPER","FLUORENE","PAH1",NA,"3","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"BATTERY KEMBLE CREEK","FLUORENE","PAH1",NA,"Not Listed","0","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"C&O CANAL","FLUORENE","PAH1",NA,"Not Listed","0","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT CHAPLIN TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","0","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT DAVIS TRIBUTARY","FLUORENE","PAH1",NA,"Not Listed","0","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FOUNDRY BRANCH","FLUORENE","PAH1",NA,"Not Listed","0","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ANACOSTIA LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","24","52","1","0","52","0","40","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"ANACOSTIA UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","17","105","23","1","105","1","86","23","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","Yes","Keep in Category 4a","5"
"BROAD BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","14","14","8","1","14","1","13","3","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","Yes","Keep in Category 4a","5"
"DALECARLIA TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"DUMBARTON OAKS","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","14","15","11","5","15","5","13","2","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","Yes","Keep in Category 4a","1"
"FENWICK BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"FORT DUPONT TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","1","0","13","0","13","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","16","17","0","0","17","0","13","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"HICKEY RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","5","6","0","0","6","0","3","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Keep in Category 3","9"
"KINGMAN LAKE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","13","25","1","0","25","0","15","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Keep in Category 3","9"
"KLINGLE VALLEY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"LUZON BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"MELVIN HAZEN VALLEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","14","14","2","0","14","0","13","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Keep in Category 3","9"
"NASH RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","6","7","2","0","7","0","3","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"NORMANSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"OXON RUN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","1","1","0","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"PINEY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"POPE BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","6","7","3","0","7","0","4","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"PORTAL BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","2","2","0","2","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"POTOMAC LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","0","0","13","0","13","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","1","0","13","0","13","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","1","0","13","0","13","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","13","13","7","0","13","0","13","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"ROCK CREEK UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","0","0","0","0","0","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"SOAPSTONE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","1","1","1","0","1","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"TEXAS AVENUE TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"4a","6","6","3","0","6","0","3","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Move to Category 3","2"
"TIDAL BASIN","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","3","3","0","0","3","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","7","19","0","0","19","0","12","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Keep in Category 3","9"
"WATTS BRANCH LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","6","7","0","0","7","0","4","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Keep in Category 3","9"
"WATTS BRANCH UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"3","13","13","1","0","13","0","13","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Keep in Category 3","9"
"BATTERY KEMBLE CREEK","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"C&O CANAL","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,"Not Listed","0","0","0","0","0","0","0","No exceedance","3.8E-3","0.0342 - 1.29","5.1999999999999998E-2","0.00025 -0.00942","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","24","52","2","N/A - no Class C WQ criteria","52","N/A - no Class C WQ criteria","40","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"ANACOSTIA UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","14","56","2","N/A - no Class C WQ criteria","56","N/A - no Class C WQ criteria","37","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"BROAD BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","14","14","1","N/A - no Class C WQ criteria","14","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"DUMBARTON OAKS","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","14","15","0","N/A - no Class C WQ criteria","15","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FENWICK BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FORT DUPONT TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT STANTON TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","19","20","0","N/A - no Class C WQ criteria","20","N/A - no Class C WQ criteria","16","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"HICKEY RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","5","6","0","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KINGMAN LAKE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","13","25","1","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","15","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KLINGLE VALLEY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"LUZON BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"MELVIN HAZEN VALLEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","14","14","0","N/A - no Class C WQ criteria","14","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"NASH RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","6","7","1","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"NORMANSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"OXON RUN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEHURST BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEY BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POPE BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","6","7","1","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","4","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"PORTAL BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","2","0","N/A - no Class C WQ criteria","2","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POTOMAC LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC MIDDLE","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","1","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","1","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","13","13","1","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"SOAPSTONE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","1","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"TEXAS AVENUE TRIBUTARY","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"4a","6","6","0","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"TIDAL BASIN","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","3","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WASHINGTON SHIP CHANNEL","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","7","19","2","N/A - no Class C WQ criteria","19","N/A - no Class C WQ criteria","12","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","3","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"3","13","13","0","N/A - no Class C WQ criteria","13","N/A - no Class C WQ criteria","13","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"BATTERY KEMBLE CREEK","INDENO_1_2_3_CD_PYRENE","PAH3",NA,"Not Listed","0","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
